Country,R0,Strategy,Social_distance,Deaths per week at trigger,total_pop,total_infected,total_deaths,total_hospital,peak_hospital_bed_demand,total_critical,peak_critical_bed_demand
Afghanistan,3,Unmitigated,0.75,N/A,38928341,36140196,76973,567916,240272,102693,39621
Albania,3,Unmitigated,0.75,N/A,2877800,2464424,19300,97298,36061,25569,8024
Algeria,3,Unmitigated,0.75,N/A,43851043,38824343,191145,1118956,459923,253553,90068
Angola,3,Unmitigated,0.75,N/A,32866268,30110663,57385,438605,183326,75970,29050
Antigua and Barbuda,3,Unmitigated,0.75,N/A,97928,84247,504,2795,1048,667,215
Argentina,3,Unmitigated,0.75,N/A,45195777,39126816,259966,1276885,489073,342159,110413
Armenia,3,Unmitigated,0.75,N/A,2963234,2603481,18054,95101,35775,24020,7685
Aruba,3,Unmitigated,0.75,N/A,106766,88963,737,3715,1396,981,310
Australia,3,Unmitigated,0.75,N/A,25499881,21991217,185236,881939,330675,244401,76396
Austria,3,Unmitigated,0.75,N/A,9006400,7559177,76313,350262,129800,100950,30976
Azerbaijan,3,Unmitigated,0.75,N/A,10139175,9102969,43606,276438,104967,57585,19143
Bahamas,3,Unmitigated,0.75,N/A,393248,340746,1789,10526,3943,2381,769
Bahrain,3,Unmitigated,0.75,N/A,1701583,1542640,4381,39064,15845,5837,2190
Bangladesh,3,Unmitigated,0.75,N/A,164689383,154022806,640815,3930633,1649241,850522,313157
Barbados,3,Unmitigated,0.75,N/A,287371,238847,2287,10319,3936,3034,951
Belarus,3,Unmitigated,0.75,N/A,9449321,8118548,68045,341478,126904,90009,28279
Belgium,3,Unmitigated,0.75,N/A,11589616,10305691,110545,489543,195265,146624,48557
Belize,3,Unmitigated,0.75,N/A,397621,353490,1316,8122,3134,1748,585
Benin,3,Unmitigated,0.75,N/A,12123198,11180031,28492,194397,81572,38086,14233
Bhutan,3,Unmitigated,0.75,N/A,771612,721036,3279,18912,7959,4366,1588
Bolivia,3,Unmitigated,0.75,N/A,11673029,10362045,49399,263020,102139,65645,21745
Bosnia and Herzegovina,3,Unmitigated,0.75,N/A,3280815,2778822,25239,124898,46051,33536,10404
Botswana,3,Unmitigated,0.75,N/A,2351625,2185830,7172,47521,19740,9495,3476
Brazil,3,Unmitigated,0.75,N/A,212559409,182791505,1102439,5975916,2248613,1465863,469512
Brunei Darussalam,3,Unmitigated,0.75,N/A,437483,397650,1785,12042,4969,2365,865
Bulgaria,3,Unmitigated,0.75,N/A,6948445,5813959,59835,276774,102010,79185,24336
Burkina Faso,3,Unmitigated,0.75,N/A,20903278,19217285,38156,291903,122046,50935,19354
Burundi,3,Unmitigated,0.75,N/A,11890781,10898277,21496,161782,67626,28486,10805
Cabo Verde,3,Unmitigated,0.75,N/A,555988,515151,2008,12581,5193,2647,962
Cambodia,3,Unmitigated,0.75,N/A,16718971,14764027,54949,365432,149919,72454,26304
Cameroon,3,Unmitigated,0.75,N/A,26545864,24484798,53694,395803,165183,70597,26637
Canada,3,Unmitigated,0.75,N/A,37742157,33067353,326322,1509416,588836,433148,140912
Central African Republic,3,Unmitigated,0.75,N/A,4829764,4459268,9953,69496,29236,13092,4958
Chad,3,Unmitigated,0.75,N/A,16425859,15039833,30223,217409,91537,39627,14974
Channel Islands,3,Unmitigated,0.75,N/A,173859,147500,1384,6554,2429,1835,568
Chile,3,Unmitigated,0.75,N/A,19116209,16207664,118765,592342,223725,157185,49782
China,3,Unmitigated,0.75,N/A,1439323774,1300804549,9890457,53821210,21549628,13123394,4531927
"Hong Kong SAR, China",3,Unmitigated,0.75,N/A,7496988,7034214,88802,383785,169089,117912,43311
"Macao SAR, China",3,Unmitigated,0.75,N/A,649342,587661,4685,25574,10239,6213,2144
"China, Taiwan Province of China",3,Unmitigated,0.75,N/A,23816775,21387957,212338,1025106,403488,280895,93378
Colombia,3,Unmitigated,0.75,N/A,50882884,44096507,252064,1364689,515744,333972,108414
Comoros,3,Unmitigated,0.75,N/A,869595,804559,2017,14523,6059,2678,1007
"Congo, Rep.",3,Unmitigated,0.75,N/A,5518092,5096722,11779,88504,36711,15512,5842
Costa Rica,3,Unmitigated,0.75,N/A,5094114,4365461,28049,147023,55398,37111,11835
Cote d'Ivoire,3,Unmitigated,0.75,N/A,26378275,24320357,55233,403555,168588,73470,27588
Croatia,3,Unmitigated,0.75,N/A,4105268,3424974,36127,162878,60312,47878,14662
Cuba,3,Unmitigated,0.75,N/A,11326616,9353709,86419,408509,154360,114722,36028
Curacao,3,Unmitigated,0.75,N/A,164100,136542,1328,6030,2311,1759,558
Cyprus,3,Unmitigated,0.75,N/A,1207361,1046888,8029,40519,15089,10657,3347
Czechia,3,Unmitigated,0.75,N/A,10708982,9050655,86700,411771,152187,114839,35369
