"Region, subregion, country or area *",country_code,World Bank region,World Bank income grou,GDP 2018
Afghanistan,AFG,South Asia,Low income,1955.006208
Albania,ALB,Europe & Central Asia,Upper middle income,13364.1554
Algeria,DZA,Middle East & North Africa,Upper middle income,15481.78762
Angola,AGO,Sub-Saharan Africa,Lower middle income,6452.355165
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,26868.13352
Argentina,ARG,Latin America & Caribbean,Upper middle income,20610.56855
Armenia,ARM,Europe & Central Asia,Upper middle income,10343.17559
Aruba,ABW,Latin America & Caribbean,High income,
Australia,AUS,East Asia & Pacific,High income,51663.36509
Austria,AUT,Europe & Central Asia,High income,55454.68929
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,18044.13678
Bahamas,BHS,Latin America & Caribbean,High income,32087.72915
Bahrain,BHR,Middle East & North Africa,High income,47303.04851
Bangladesh,BGD,South Asia,Lower middle income,4371.754986
Barbados,BRB,Latin America & Caribbean,High income,18554.12928
Belarus,BLR,Europe & Central Asia,Upper middle income,19994.80408
Belgium,BEL,Europe & Central Asia,High income,51407.99834
Belize,BLZ,Latin America & Caribbean,Upper middle income,8648.0888
Benin,BEN,Sub-Saharan Africa,Low income,2424.755845
Bhutan,BTN,South Asia,Lower middle income,10167.93406
Bolivia,BOL,Latin America & Caribbean,Lower middle income,7873.166243
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,14623.67405
Botswana,BWA,Sub-Saharan Africa,Upper middle income,18615.79334
Brazil,BRA,Latin America & Caribbean,Upper middle income,16096.40096
Brunei Darussalam,BRN,East Asia & Pacific,High income,80920.04868
Bulgaria,BGR,Europe & Central Asia,Upper middle income,21960.36994
Burkina Faso,BFA,Sub-Saharan Africa,Low income,1984.884306
Burundi,BDI,Sub-Saharan Africa,Low income,744.182072
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,7454.063917
Cambodia,KHM,East Asia & Pacific,Lower middle income,4360.854404
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,3785.079978
Canada,CAN,North America,High income,48130.25597
Central African Republic,CAF,Sub-Saharan Africa,Low income,859.9356196
Chad,TCD,Sub-Saharan Africa,Low income,1968.258262
Channel Islands,CHI,Europe & Central Asia,High income,
Chile,CHL,Latin America & Caribbean,High income,25222.52778
China,CHN,East Asia & Pacific,Upper middle income,18236.61298
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,64596.56385
"Macao SAR, China",MAC,East Asia & Pacific,High income,123892.1664
"China, Taiwan Province of China",NA,,,
Colombia,COL,Latin America & Caribbean,Upper middle income,15012.93027
Comoros,COM,Sub-Saharan Africa,Lower middle income,2913.387306
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,5662.063411
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,17671.09535
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,4207.086934
Croatia,HRV,Europe & Central Asia,High income,27579.78083
Cuba,CUB,Latin America & Caribbean,Upper middle income,
Curacao,CUW,Latin America & Caribbean,High income,27743.07005
Cyprus,CYP,Europe & Central Asia,High income,
Czechia,CZE,Europe & Central Asia,High income,39743.59709
"Korea, Dem. People’s Rep.",PRK,East Asia & Pacific,Low income,
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,932.1720068
Denmark,DNK,Europe & Central Asia,High income,55671.16527
Djibouti,DJI,Middle East & North Africa,Lower middle income,
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,17748.18532
Ecuador,ECU,Latin America & Caribbean,Upper middle income,11734.38739
Egypt,EGY,Middle East & North Africa,Lower middle income,12412.3094
El Salvador,SLV,Latin America & Caribbean,Lower middle income,8331.804142
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,22743.82443
Eritrea,ERI,Sub-Saharan Africa,Low income,
Estonia,EST,Europe & Central Asia,High income,35973.77646
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,10637.84173
Ethiopia,ETH,Sub-Saharan Africa,Low income,2022.137961
Fiji,FJI,East Asia & Pacific,Upper middle income,10879.47846
Finland,FIN,Europe & Central Asia,High income,48416.93603
France,FRA,Europe & Central Asia,High income,45342.39574
French Guiana,NA,,,
French Polynesia,PYF,East Asia & Pacific,High income,
Gabon,GAB,Sub-Saharan Africa,Upper middle income,17875.76115
Gambia,GMB,Sub-Saharan Africa,Low income,2612.000995
Georgia,GEO,Europe & Central Asia,Upper middle income,12004.57383
Germany,DEU,Europe & Central Asia,High income,53074.54012
Ghana,GHA,Sub-Saharan Africa,Lower middle income,4746.684995
Greece,GRC,Europe & Central Asia,High income,29592.15242
Grenada,GRD,Latin America & Caribbean,Upper middle income,15557.54504
Guadeloupe,NA,,,
Guam,GUM,East Asia & Pacific,High income,
Guatemala,GTM,Latin America & Caribbean,Upper middle income,8462.374008
Guinea,GIN,Sub-Saharan Africa,Low income,2504.869745
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,1799.067891
Guyana,GUY,Latin America & Caribbean,Upper middle income,8640.73737
Haiti,HTI,Latin America & Caribbean,Low income,1866.617589
Honduras,HND,Latin America & Caribbean,Lower middle income,5138.752457
Hungary,HUN,Europe & Central Asia,High income,31102.50275
Iceland,ISL,Europe & Central Asia,High income,57303.06078
India,IND,South Asia,Lower middle income,7762.88177
Indonesia,IDN,East Asia & Pacific,Lower middle income,13079.6193
Iran (Islamic Republic of),IRN,Middle East & North Africa,Upper middle income,
Iraq,IRQ,Middle East & North Africa,Upper middle income,17435.85393
Ireland,IRL,Europe & Central Asia,High income,83203.39468
Israel,ISR,Middle East & North Africa,High income,39919.16965
Italy,ITA,Europe & Central Asia,High income,41830.42633
Jamaica,JAM,Latin America & Caribbean,Upper middle income,9326.664059
Japan,JPN,East Asia & Pacific,High income,42797.45852
Jordan,JOR,Middle East & North Africa,Upper middle income,9478.904588
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,27879.75195
Kenya,KEN,Sub-Saharan Africa,Lower middle income,3467.556478
Kiribati,KIR,East Asia & Pacific,Lower middle income,2293.920333
Kuwait,KWT,Middle East & North Africa,High income,72897.56235
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,3884.708809
Lao PDR,LAO,East Asia & Pacific,Lower middle income,7439.59936
Latvia,LVA,Europe & Central Asia,High income,30304.8525
Lebanon,LBN,Middle East & North Africa,Upper middle income,13081.10746
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,3219.457157
Liberia,LBR,Sub-Saharan Africa,Low income,1308.629536
