Country,R0,Strategy,Social_distance,total_pop,total_infected,total_deaths,total_hospital,total_critical
Afghanistan,2.4,Enhanced social distancing of elderly,34%,38928341,22235810,42015,342532,55701
Afghanistan,2.7,Enhanced social distancing of elderly,38%,38928341,24001697,46456,371943,61587
Afghanistan,3,Enhanced social distancing of elderly,44%,38928341,25058690,57529,414970,76266
Afghanistan,3.3,Enhanced social distancing of elderly,47%,38928341,26214010,60640,434649,80429
Afghanistan,2.4,Social distancing whole population,37%,38928341,21576989,55929,378738,74147
Afghanistan,2.7,Social distancing whole population,41%,38928341,23382945,59413,405719,78799
Afghanistan,3,Social distancing whole population,45%,38928341,24841920,62072,426882,82305
Afghanistan,3.3,Social distancing whole population,48%,38928341,26048156,64163,443937,85061
Afghanistan,2.4,Unmitigated,0%,38928341,33234053,74381,535948,98609
Afghanistan,2.7,Unmitigated,0%,38928341,34824650,76059,553653,100832
Afghanistan,3,Unmitigated,0%,38928341,35927979,77072,565164,102168
Afghanistan,3.3,Unmitigated,0%,38928341,36708969,77708,572873,103031
Albania,2.4,Enhanced social distancing of elderly,35%,2877800,1271701,4213,33065,5586
Albania,2.7,Enhanced social distancing of elderly,38%,2877800,1405053,4960,37666,6578
Albania,3,Enhanced social distancing of elderly,42%,2877800,1542120,7325,46576,9712
Albania,3.3,Enhanced social distancing of elderly,45%,2877800,1640318,8253,51000,10940
Albania,2.4,Social distancing whole population,36%,2877800,1323142,7274,42046,9643
Albania,2.7,Social distancing whole population,40%,2877800,1459024,8310,47425,11017
Albania,3,Social distancing whole population,43%,2877800,1571987,9229,52085,12235
Albania,3.3,Social distancing whole population,46%,2877800,1667558,10051,56169,13333
Albania,2.4,Unmitigated,0%,2877800,2178185,15342,80744,20340
Albania,2.7,Unmitigated,0%,2877800,2328478,17299,89134,22939
Albania,3,Unmitigated,0%,2877800,2440567,18935,95875,25111
Albania,3.3,Unmitigated,0%,2877800,2525855,20309,101349,26927
Algeria,2.4,Enhanced social distancing of elderly,34%,43851043,22630780,63329,541065,83956
Algeria,2.7,Enhanced social distancing of elderly,38%,43851043,24684676,72422,598133,96011
Algeria,3,Enhanced social distancing of elderly,43%,43851043,26153264,101950,701426,135151
Algeria,3.3,Enhanced social distancing of elderly,47%,43851043,27485010,111613,747966,148020
Algeria,2.4,Social distancing whole population,37%,43851043,22652248,103677,651591,137447
Algeria,2.7,Social distancing whole population,41%,43851043,24604851,113589,708890,150671
Algeria,3,Social distancing whole population,45%,43851043,26193033,121783,755525,161497
Algeria,3.3,Social distancing whole population,48%,43851043,27512076,128681,794259,170577
Algeria,2.4,Unmitigated,0%,43851043,35364412,171534,1022751,227406
Algeria,2.7,Unmitigated,0%,43851043,37223115,182089,1075192,241430
Algeria,3,Unmitigated,0%,43851043,38561363,189728,1111893,251505
Algeria,3.3,Unmitigated,0%,43851043,39550379,195348,1138076,258972
Angola,2.4,Enhanced social distancing of elderly,35%,32866268,18198225,29066,256110,38534
Angola,2.7,Enhanced social distancing of elderly,39%,32866268,19678221,32307,279022,42842
Angola,3,Enhanced social distancing of elderly,44%,32866268,20656120,40516,312366,53726
Angola,3.3,Enhanced social distancing of elderly,47%,32866268,21632859,42961,328155,56954
Angola,2.4,Social distancing whole population,37%,32866268,17824258,39321,283832,52128
Angola,2.7,Social distancing whole population,41%,32866268,19323398,42035,305221,55726
Angola,3,Social distancing whole population,45%,32866268,20536062,44148,322147,58524
Angola,3.3,Social distancing whole population,48%,32866268,21539422,45838,335886,60776
Angola,2.4,Unmitigated,0%,32866268,27587767,54691,412190,72505
Angola,2.7,Unmitigated,0%,32866268,28954731,56290,427307,74623
Angola,3,Unmitigated,0%,32866268,29918521,57296,437250,75991
Angola,3.3,Unmitigated,0%,32866268,30613383,57944,443936,76828
Antigua and Barbuda,2.4,Enhanced social distancing of elderly,31%,97928,42340,124,947,164
Antigua and Barbuda,2.7,Enhanced social distancing of elderly,35%,97928,47351,148,1101,196
Antigua and Barbuda,3,Enhanced social distancing of elderly,39%,97928,52133,214,1365,284
Antigua and Barbuda,3.3,Enhanced social distancing of elderly,42%,97928,55765,240,1504,319
Antigua and Barbuda,2.4,Social distancing whole population,33%,97928,43615,207,1192,275
Antigua and Barbuda,2.7,Social distancing whole population,37%,97928,48604,238,1362,315
Antigua and Barbuda,3,Social distancing whole population,40%,97928,52792,264,1510,351
Antigua and Barbuda,3.3,Social distancing whole population,43%,97928,56347,288,1640,382
Antigua and Barbuda,2.4,Unmitigated,0%,97928,71817,401,2250,531
Antigua and Barbuda,2.7,Unmitigated,0%,97928,77556,447,2498,593
Antigua and Barbuda,3,Unmitigated,0%,97928,81811,484,2691,642
Antigua and Barbuda,3.3,Unmitigated,0%,97928,85015,514,2843,681
Argentina,2.4,Enhanced social distancing of elderly,34%,45195777,19881939,59872,418845,79373
Argentina,2.7,Enhanced social distancing of elderly,37%,45195777,22132135,71410,485081,94721
Argentina,3,Enhanced social distancing of elderly,42%,45195777,24365226,107249,614649,142225
Argentina,3.3,Enhanced social distancing of elderly,44%,45195777,26005121,120686,677138,159970
Argentina,2.4,Social distancing whole population,36%,45195777,20576774,104787,546644,138918
Argentina,2.7,Social distancing whole population,39%,45195777,22832080,119818,621598,158865
Argentina,3,Social distancing whole population,43%,45195777,24720324,133033,686840,176351
Argentina,3.3,Social distancing whole population,45%,45195777,26321567,144721,743999,191857
Argentina,2.4,Unmitigated,0%,45195777,34471496,212412,1064620,281599
Argentina,2.7,Unmitigated,0%,45195777,36944290,236547,1174102,313586
Argentina,3,Unmitigated,0%,45195777,38770282,255948,1259949,339471
Argentina,3.3,Unmitigated,0%,45195777,40139861,271672,1327912,360208
Armenia,2.4,Enhanced social distancing of elderly,35%,2963234,1397151,4312,34956,5717
Armenia,2.7,Enhanced social distancing of elderly,39%,2963234,1536827,5042,39562,6684
Armenia,3,Enhanced social distancing of elderly,43%,2963234,1674437,7282,47979,9653
Armenia,3.3,Enhanced social distancing of elderly,46%,2963234,1774585,8154,52214,10812
Armenia,2.4,Social distancing whole population,36%,2963234,1442022,7178,43097,9516
Armenia,2.7,Social distancing whole population,40%,2963234,1583109,8148,48309,10801
Armenia,3,Social distancing whole population,43%,2963234,1699312,8997,52769,11932
Armenia,3.3,Social distancing whole population,46%,2963234,1796825,9749,56638,12926
Armenia,2.4,Unmitigated,0%,2963234,2327937,14678,80265,19459
Armenia,2.7,Unmitigated,0%,2963234,2474060,16389,87795,21731
Armenia,3,Unmitigated,0%,2963234,2580964,17793,93722,23588
Armenia,3.3,Unmitigated,0%,2963234,2660711,18951,98440,25123
Aruba,2.4,Enhanced social distancing of elderly,30%,106766,42915,167,1152,221
Aruba,2.7,Enhanced social distancing of elderly,34%,106766,48102,200,1346,266
Aruba,3,Enhanced social distancing of elderly,39%,106766,53507,296,1710,392
Aruba,3.3,Enhanced social distancing of elderly,42%,106766,57383,334,1894,443
Aruba,2.4,Social distancing whole population,33%,106766,45024,289,1516,383
Aruba,2.7,Social distancing whole population,37%,106766,50271,333,1737,441
Aruba,3,Social distancing whole population,40%,106766,54700,371,1932,492
